,Idade,Sexo,Dependentes,Nivel_educacional,Estado_civil,Renda,limite_do_cartao
115,49,1,1,5,2,4,18886.0
116,52,1,3,3,1,4,11976.0
117,50,1,3,3,2,4,9964.0
118,49,1,1,7,3,3,24159.0
119,53,0,2,3,3,1,5362.0
120,50,1,2,5,2,5,34516.0
121,55,0,1,7,3,1,3174.0
122,53,1,1,3,3,4,12262.0
123,47,0,3,3,2,2,3788.0
124,55,1,2,4,2,5,34516.0
125,47,1,3,5,2,3,2926.0
126,58,1,4,5,2,5,32090.0
127,53,1,2,5,3,4,11669.0
128,52,1,2,3,2,2,13532.0
129,50,0,1,2,1,1,11888.0
130,42,0,1,5,3,1,2393.0
131,43,1,4,1,3,2,6111.0
132,57,1,4,5,3,4,19270.0
133,52,1,1,5,3,4,3710.0
134,47,1,2,7,2,1,3235.0
135,44,0,3,5,2,2,11749.0
136,53,1,2,3,4,3,7753.0
137,45,1,4,4,4,3,10408.0
138,63,0,1,4,3,6,3967.0
139,39,0,2,6,2,1,6205.0
140,48,0,5,3,3,1,8025.0
141,51,1,1,1,2,5,9036.0
142,54,1,4,5,3,4,14926.0
143,59,0,1,5,2,1,6335.0
144,59,1,1,4,2,3,14979.0
145,48,0,4,2,3,1,2732.0
146,41,0,2,5,2,1,2250.0
147,55,1,2,5,3,5,10916.0
148,47,0,4,5,3,6,5349.0
149,41,1,2,3,3,4,9366.0
150,40,1,3,3,2,4,21617.0
151,68,1,1,5,3,6,13860.0
152,50,0,1,5,2,2,18386.0
153,47,1,4,2,2,3,2405.0
154,53,0,1,4,3,1,2154.0
155,42,0,5,1,3,2,2038.0
156,48,0,4,3,2,2,8135.0
157,49,1,1,7,3,5,9364.0
158,44,0,2,2,3,6,32643.0
159,43,0,4,5,4,1,3195.0
160,56,1,0,3,3,4,2852.0
161,59,0,1,4,2,6,4224.0
162,46,1,1,2,3,3,20459.0
163,47,0,4,1,4,1,3482.0
164,50,0,4,2,3,2,3065.0
165,51,0,3,2,3,1,2185.0
166,47,0,3,2,3,1,1611.0
167,58,0,4,2,3,1,2822.0
168,46,1,5,5,2,4,32975.0
169,53,1,3,3,3,3,1438.3
170,45,0,4,2,4,6,15875.0
171,52,0,1,3,3,1,6703.0
172,53,1,2,1,3,4,3212.0
173,50,1,2,3,3,4,34516.0
174,41,0,3,3,3,2,9797.0
175,45,0,5,5,4,2,10400.0
176,53,1,3,2,3,4,26792.0
177,67,0,1,5,3,1,3006.0
178,57,0,2,2,2,2,19482.0
179,59,0,1,2,3,2,3356.0
180,45,1,2,2,3,2,5771.0
181,51,1,3,5,3,4,11106.0
182,59,0,1,2,3,1,2890.0
183,53,1,1,5,3,3,3380.0
184,47,1,3,5,3,3,21331.0
185,49,0,3,2,2,6,12860.0
186,49,1,3,6,2,4,6278.0
187,60,0,0,4,2,1,1438.3
188,50,0,2,3,3,1,9355.0
189,41,0,2,6,3,6,20758.0
190,57,1,1,5,3,4,14612.0
191,43,1,4,5,1,4,27259.0
192,57,0,3,5,3,1,6347.0
193,54,1,3,7,3,5,21592.0
194,51,0,5,6,3,1,3449.0
195,47,0,3,3,3,1,6028.0
196,41,1,0,3,1,5,18214.0
197,53,1,3,2,3,4,16393.0
198,68,1,0,3,3,1,1438.3
199,59,1,1,4,3,3,7871.0
200,48,1,4,1,3,4,5288.0
201,44,1,5,5,3,3,11376.0
202,48,1,3,4,3,4,12302.0
203,47,1,4,5,3,3,34516.0
204,47,1,2,5,3,3,34516.0
205,43,0,1,3,4,1,10514.0
206,55,0,2,5,3,1,1438.3
207,59,1,2,6,3,3,1438.3
208,63,1,1,5,3,2,2619.0
209,58,1,2,4,3,5,24407.0
210,53,0,2,3,3,1,2377.0
211,59,1,0,1,1,4,34516.0
212,52,1,3,5,3,5,11086.0
213,48,1,3,3,2,3,11432.0
214,43,1,4,3,3,2,13258.0
215,48,1,2,4,2,1,2571.0
216,43,0,4,5,2,1,5781.0
217,44,1,4,1,3,3,7872.0
218,41,1,3,3,3,4,34516.0
219,44,0,3,2,4,1,11127.0
220,50,1,2,1,2,2,1857.0
221,60,0,1,2,3,1,1913.0
222,44,1,4,5,2,4,3839.0
223,48,0,3,5,4,2,2115.0
224,44,0,2,5,4,1,1438.3
225,41,1,2,3,2,4,27756.0
226,45,1,3,4,2,3,1438.3
227,47,0,2,2,4,1,13878.0
228,51,0,2,5,3,1,3106.0
229,51,1,2,5,3,5,34516.0
230,60,0,1,2,3,2,1438.3
231,57,1,2,1,3,4,18871.0
232,41,1,5,5,2,5,5207.0
233,44,1,3,6,4,4,17965.0
234,43,1,1,4,2,3,2733.0
235,55,1,2,4,3,3,8863.0
236,52,1,1,2,3,4,1857.0
237,44,1,3,5,1,4,34516.0
238,41,1,2,2,3,2,11107.0
239,44,1,4,1,2,4,21573.0
240,53,0,2,1,3,1,2859.0
241,39,1,2,3,2,4,5269.0
242,49,1,5,4,3,2,1438.3
243,45,0,2,4,3,1,3387.0
244,54,1,2,5,3,4,1982.0
245,49,1,3,2,2,4,4645.0
246,46,0,3,7,2,6,2189.0
247,46,1,4,3,3,5,2442.0
248,47,1,3,5,3,3,21304.0
249,44,1,2,7,2,3,7577.0
250,50,1,3,6,2,5,3234.0
251,73,1,0,3,3,2,4469.0
252,56,1,3,1,1,2,2910.0
253,59,1,0,3,2,2,3616.0
254,70,1,0,3,3,1,3252.0
255,55,0,2,3,3,1,2358.0
256,43,1,4,1,2,3,22322.0
257,45,1,1,2,2,5,3133.0
258,45,0,2,2,2,2,3540.0
259,40,1,1,5,3,2,6990.0
260,36,1,2,4,1,4,34516.0
261,59,0,0,6,3,2,1438.3
262,43,1,4,1,3,3,24396.0
263,46,0,1,1,3,1,2474.0
264,41,1,2,2,3,2,5214.0
265,51,0,2,5,3,1,5207.0
266,51,0,3,1,1,1,9512.0
267,43,0,4,5,4,6,3187.0
268,64,0,0,3,3,2,3353.0
269,54,1,5,5,3,3,2290.0
270,48,1,3,1,2,2,5279.0
271,40,1,2,2,4,3,23603.0
272,57,1,0,2,3,2,2601.0
273,45,1,4,5,2,4,6363.0
274,41,1,3,3,2,4,8029.0
275,42,0,4,2,3,1,2410.0
276,45,1,2,5,2,3,3401.0
277,42,0,4,2,3,1,2260.0
278,47,1,4,2,4,4,17682.0
279,48,0,4,3,3,2,4206.0
280,43,1,1,5,2,4,34516.0
281,41,1,4,3,1,4,23018.0
282,54,0,1,2,3,2,5556.0
283,54,0,2,3,3,6,6094.0
284,61,1,0,5,3,2,2939.0
285,61,1,0,2,3,4,5362.0
286,48,1,2,3,3,5,27126.0
287,45,0,4,5,2,1,3342.0
288,54,0,4,5,3,6,2532.0
289,54,0,3,7,3,6,1900.0
290,44,1,3,5,2,3,14546.0
291,50,0,4,7,2,6,2521.0
292,55,1,2,7,3,3,16427.0
293,48,1,2,5,1,2,13068.0
294,45,1,2,4,2,3,23218.0
295,60,1,0,3,3,2,3281.0
296,55,1,2,3,3,2,3096.0
297,62,0,0,3,3,2,2052.0
298,38,0,1,3,1,1,1438.3
299,46,1,3,3,2,2,9432.0
300,50,1,0,3,2,5,14938.0
301,45,1,2,2,3,3,2221.0
302,47,1,3,6,4,3,5731.0
303,48,1,4,4,3,3,34516.0
304,35,1,3,2,3,3,6985.0
305,51,1,2,5,3,5,24221.0
306,36,0,3,3,3,6,15439.0
307,47,1,4,5,2,4,21637.0
308,52,1,2,5,2,5,14543.0
309,43,0,4,2,3,1,9684.0
310,63,1,2,3,3,2,5007.0
311,61,1,0,5,3,3,1616.0
312,53,1,2,2,2,3,19116.0
313,53,0,3,5,3,1,2759.0
314,57,1,3,5,3,5,8249.0
315,38,0,2,5,2,6,14041.0
316,53,1,3,3,3,3,5264.0
317,63,0,0,1,3,1,2420.0
318,49,0,4,3,3,1,2826.0
319,45,1,2,3,3,4,12518.0
320,67,1,0,5,3,2,5876.0
321,48,1,3,5,2,4,34516.0
322,51,0,2,2,4,1,9648.0
323,52,1,2,3,2,4,34516.0
324,55,0,2,2,3,6,3025.0
325,34,1,3,3,3,3,3265.0
326,56,1,1,2,3,5,6041.0
327,44,0,2,6,3,1,2293.0
328,47,1,3,6,1,4,13399.0
329,46,0,3,1,3,1,4317.0
330,43,0,3,5,2,2,3378.0
331,50,0,1,5,2,1,5012.0
332,38,0,4,2,2,1,2569.0
333,53,0,1,5,2,1,3471.0
334,43,1,5,5,4,5,34516.0
335,53,1,1,3,3,5,3312.0
336,56,0,1,5,3,1,2578.0
337,54,1,2,1,3,2,2902.0
338,57,0,3,3,3,1,2742.0
339,62,1,1,3,3,1,2077.0
340,46,0,4,5,2,1,6265.0
341,49,1,2,2,3,3,7819.0
342,52,1,3,5,2,4,2731.0
343,58,1,1,2,3,2,1438.3
344,54,1,0,3,3,4,16286.0
345,49,1,1,5,3,5,34516.0
346,58,0,3,3,3,1,2609.0
347,52,1,2,3,2,3,7567.0
348,41,1,5,3,3,3,22770.0
349,62,0,0,2,3,1,3791.0
350,54,1,2,5,3,1,2702.0
351,40,0,3,3,4,1,2555.0
352,43,1,3,5,3,4,2355.0
353,53,0,2,5,2,2,5332.0
354,55,1,1,2,2,2,1443.0
355,46,1,4,5,2,3,10741.0
356,41,1,1,2,3,3,7984.0
357,49,1,3,2,2,3,18584.0
358,61,0,0,5,3,6,5585.0
359,46,1,2,2,3,4,34516.0
360,50,0,1,2,3,1,1438.3
361,40,1,2,5,2,4,2478.0
362,51,1,4,3,2,5,34516.0
363,50,0,2,5,3,2,2339.0
364,47,0,2,5,3,1,2726.0
365,43,1,4,1,3,5,14881.0
366,36,0,4,5,3,2,1628.0
367,47,0,2,5,3,1,3156.0
368,46,0,2,5,2,1,4745.0
369,46,1,2,3,3,5,19727.0
370,52,1,0,2,3,3,22720.0
371,43,1,4,1,3,2,8129.0
372,40,0,4,5,2,1,3751.0
373,54,0,4,3,3,1,1594.0
374,55,0,1,3,2,1,2569.0
375,49,0,4,6,2,6,18206.0
376,45,1,4,3,3,2,3104.0
377,49,1,3,5,3,2,2406.0
378,63,1,1,2,3,4,24571.0
379,40,0,3,3,2,1,15534.0
380,41,0,2,5,3,1,12301.0
381,37,1,4,5,3,4,2846.0
382,58,1,2,2,1,5,9788.0
383,55,1,2,3,3,3,7231.0
384,53,0,1,3,3,1,2324.0
385,57,1,2,5,3,4,12208.0
386,43,1,4,6,1,4,5639.0
387,58,1,1,5,3,3,10021.0
388,64,1,0,1,3,1,2215.0
389,54,0,2,5,3,1,2027.0
390,53,1,2,5,3,3,6363.0
391,39,0,3,4,2,1,3920.0
392,56,1,3,3,3,3,9226.0
393,54,0,4,1,4,1,9376.0
394,59,0,1,6,3,2,1944.0
395,42,1,3,2,2,2,9599.0
396,42,1,4,5,3,3,28202.0
397,43,1,3,4,1,4,24850.0
398,55,1,0,3,3,5,3805.0
399,52,1,1,2,2,4,2733.0
400,46,1,1,2,1,2,12781.0
401,57,1,2,2,3,5,3106.0
402,48,1,3,4,3,4,7477.0
403,45,1,4,1,3,5,34516.0
404,48,1,2,3,3,5,29963.0
405,47,1,1,5,2,2,6509.0
406,42,1,3,4,3,3,13450.0
407,41,1,2,5,1,3,27000.0
408,51,1,4,4,3,5,34516.0
409,55,0,2,5,2,1,6347.0
410,67,1,1,2,3,2,3106.0
411,39,1,1,5,3,3,2536.0
412,54,1,3,6,2,3,13048.0
413,55,0,2,1,3,1,2453.0
414,47,1,3,3,3,2,16138.0
415,49,1,2,6,3,3,8077.0
416,42,0,2,5,3,1,1929.0
417,57,1,2,1,2,4,3127.0
418,44,1,5,2,3,3,8645.0
419,56,1,3,1,2,3,1438.3
420,49,0,3,5,3,1,2185.0
421,45,1,3,5,2,4,24487.0
422,63,1,0,3,3,3,2567.0
423,44,1,3,5,2,4,4131.0
424,44,0,4,4,3,1,10790.0
425,40,1,3,3,3,2,6884.0
426,39,1,2,2,2,3,13961.0
427,42,1,4,3,3,4,29801.0
428,54,1,3,3,3,5,13219.0
429,58,0,4,1,3,1,2536.0
430,46,0,4,5,4,1,9478.0
431,47,0,4,1,4,2,3502.0
432,67,0,0,1,3,6,10509.0
433,50,0,2,4,4,1,1491.0
434,55,1,0,3,4,3,9734.0
435,46,0,2,5,3,2,2305.0
436,47,0,4,2,3,2,14241.0
437,36,0,2,1,3,2,4789.0
438,40,1,4,7,4,3,23138.0
439,57,1,2,1,2,4,23008.0
440,48,1,1,1,4,4,3131.0
441,58,0,3,5,3,1,5798.0
442,48,1,3,5,2,2,6880.0
443,48,1,3,5,1,4,34516.0
444,53,0,2,4,3,2,2075.0
445,50,1,2,5,3,4,4589.0
446,52,0,1,5,2,1,2317.0
447,53,0,2,2,2,1,1981.0
448,56,0,1,5,2,2,6038.0
449,44,1,5,1,2,4,14910.0
450,49,1,3,3,3,4,29659.0
451,54,1,2,5,3,3,4320.0
452,39,0,1,1,2,2,11213.0
453,39,0,3,2,4,6,26181.0
454,41,0,4,3,2,1,5773.0
455,53,1,2,2,3,4,4503.0
456,47,1,3,2,3,4,29770.0
457,46,0,2,6,3,1,5014.0
458,53,0,1,3,3,1,3445.0
459,60,1,1,5,3,4,23412.0
460,59,0,0,5,2,1,3044.0
461,38,1,1,1,2,3,14596.0
462,56,1,4,2,2,1,3864.0
463,35,1,3,6,1,4,17030.0
464,50,1,3,5,2,3,23090.0
465,53,1,2,6,1,4,29205.0
466,63,1,2,5,3,3,14035.0
467,43,0,2,2,2,1,2962.0
468,46,1,2,1,3,4,18578.0
469,61,1,1,2,2,3,2201.0
470,37,0,0,6,3,1,2061.0
471,42,0,5,7,3,6,24602.0
472,41,1,2,2,4,5,15911.0
473,56,1,2,4,2,5,16867.0
474,56,1,3,5,3,3,2783.0
475,52,0,3,6,2,1,2972.0
476,40,0,3,3,2,2,5124.0
477,63,1,1,5,3,2,2880.0
478,58,1,1,3,2,2,5579.0
479,58,1,4,1,3,3,12010.0
480,46,1,2,2,4,4,34516.0
481,37,0,1,5,3,2,4394.0
482,46,1,4,5,2,4,18325.0
483,46,0,4,6,3,1,3773.0
484,41,1,1,5,2,4,21684.0
485,48,0,3,3,4,2,1919.0
486,49,0,3,5,2,2,9995.0
487,44,1,2,5,3,4,11910.0
488,39,0,3,4,3,1,2279.0
489,57,1,1,4,2,2,3539.0
490,48,1,3,3,3,4,30579.0
491,47,1,3,3,2,4,24480.0
492,56,0,1,2,4,6,17561.0
493,54,0,0,4,3,1,1638.0
494,54,1,1,5,3,3,2947.0
495,52,1,4,3,3,4,5738.0
496,43,1,4,1,1,5,33304.0
497,59,1,1,4,2,2,7251.0
498,44,1,1,1,3,6,2885.0
499,56,0,1,4,3,1,2641.0
500,45,0,4,5,3,6,2801.0
501,55,1,1,3,3,4,16794.0
502,48,0,3,4,4,2,9336.0
503,56,0,5,4,2,1,2763.0
504,41,1,3,2,3,3,17391.0
505,65,0,1,3,3,1,3198.0
506,34,1,4,6,2,4,5100.0
507,56,1,3,6,3,3,3955.0
508,62,0,1,3,3,1,3140.0
509,45,0,3,2,2,6,4028.0
510,38,0,2,2,2,1,2264.0
511,49,1,3,1,1,5,21620.0
512,58,1,2,3,2,3,6385.0
513,41,0,4,5,2,2,2375.0
514,33,1,2,5,3,3,1963.0
515,47,0,4,4,2,1,4256.0
516,56,0,1,5,3,1,5097.0
517,51,1,1,5,2,3,3228.0
518,49,1,1,5,1,2,20231.0
519,50,1,1,1,2,5,27512.0
520,55,0,3,1,3,2,1929.0
521,26,1,0,5,2,1,2585.0
522,58,1,1,4,3,4,12151.0
523,46,1,3,3,2,4,34516.0
524,48,1,4,3,3,5,34516.0
525,42,1,4,2,4,3,5504.0
526,37,1,4,5,3,4,10021.0
527,63,0,0,1,3,1,3558.0
528,50,1,3,3,2,2,19853.0
529,41,0,1,3,2,2,4969.0
530,48,0,3,5,4,1,3117.0
531,46,1,2,4,2,4,21526.0
532,61,1,0,3,2,3,5504.0
533,59,0,0,1,3,1,5512.0
534,53,0,2,7,3,6,1438.3
535,39,0,3,7,1,2,7262.0
536,51,1,3,3,3,5,7319.0
537,45,1,2,5,3,3,1438.3
538,48,1,4,1,2,3,7712.0
539,47,1,1,5,3,3,2053.0
540,41,1,2,3,3,2,12804.0
541,48,1,4,4,3,4,26443.0
542,50,0,4,5,2,1,3125.0
543,56,0,2,6,3,1,4930.0
544,39,0,2,4,2,1,9476.0
545,47,1,1,5,3,4,11722.0
546,44,1,2,5,2,5,13301.0
547,61,0,1,1,3,6,1438.3
548,43,0,2,6,3,1,1438.3
549,59,1,1,3,3,3,6705.0
550,42,0,2,2,3,6,22718.0
551,40,1,4,1,4,2,23981.0
552,65,1,2,1,3,1,2318.0
553,48,1,1,4,3,3,19324.0
554,44,1,2,5,2,2,5331.0
555,36,0,4,1,3,6,15700.0
556,45,1,4,5,2,3,17625.0
557,39,1,2,5,3,4,17438.0
558,40,1,4,4,1,4,1962.0
559,62,1,0,3,3,3,8077.0
560,26,1,0,5,2,2,3290.0
561,60,1,0,2,2,1,2402.0
562,54,0,3,7,2,1,9256.0
563,62,1,0,5,3,3,3674.0
564,57,1,2,4,3,2,6462.0
565,59,1,0,5,2,2,1638.0
566,46,1,4,5,2,3,4335.0
567,44,1,4,3,2,3,3233.0
568,48,1,4,1,2,4,11862.0
569,43,1,2,2,4,5,34516.0
570,57,1,4,2,3,5,19802.0
571,46,1,3,4,1,4,24869.0
572,40,1,3,3,1,3,3624.0
573,54,1,1,1,3,4,6175.0
574,57,0,1,5,2,2,10953.0
575,44,1,4,5,3,3,11338.0
576,47,0,2,7,3,1,5544.0
577,47,1,4,7,3,3,19665.0
578,50,0,2,3,3,1,2927.0
579,53,0,3,4,3,2,5146.0
580,56,1,1,4,3,3,1704.0
581,55,1,1,3,3,3,1438.3
582,53,0,4,3,3,1,2974.0
583,61,1,1,1,3,2,5472.0
584,57,1,2,3,3,3,2736.0
585,50,1,2,5,3,4,1438.3
586,56,0,2,1,3,6,5406.0
587,52,1,2,5,2,5,34516.0
588,60,1,0,5,3,1,1976.0
589,49,1,4,2,3,4,8714.0
590,46,0,4,7,4,1,8693.0
591,42,1,1,2,3,4,9247.0
592,45,1,3,3,3,1,7717.0
593,45,0,4,2,3,1,4908.0
594,44,0,3,7,3,1,7222.0
595,61,1,0,2,2,4,21740.0
596,55,1,3,2,3,3,2323.0
597,44,1,4,1,4,3,7788.0
598,55,0,1,1,3,1,1438.3
599,57,1,2,1,3,5,23700.0
600,45,1,2,7,3,4,11710.0
601,57,0,0,3,3,2,2278.0
602,31,1,0,2,3,2,4048.0
603,34,0,2,5,3,1,3663.0
604,53,0,1,5,2,1,1438.3
605,35,0,1,4,2,6,3518.0
606,44,0,4,5,3,1,1717.0
607,50,1,1,5,3,4,16813.0
608,33,1,3,6,3,4,16434.0
609,50,1,3,5,2,3,21872.0
610,51,1,4,3,3,4,15897.0
611,56,0,4,1,3,1,4271.0
612,55,0,3,5,2,1,7361.0
613,26,1,0,4,2,1,1438.3
614,42,0,3,5,3,1,8628.0
615,54,1,2,4,3,4,18750.0
616,44,0,3,5,3,6,21242.0
617,65,0,0,5,3,2,2961.0
618,38,0,3,3,3,6,11327.0
619,58,1,3,3,3,3,8308.0
620,39,0,3,6,3,2,3249.0
621,52,1,2,3,3,5,2981.0
622,45,0,3,5,3,1,8829.0
623,42,1,3,1,2,4,3714.0
624,42,1,2,4,3,3,7340.0
625,57,1,4,6,3,5,16952.0
626,55,1,3,7,2,4,20865.0
627,44,0,3,4,1,1,3083.0
628,37,0,3,5,3,6,10584.0
629,50,0,3,1,3,1,2240.0
630,51,1,2,5,3,2,12240.0
631,37,1,1,5,3,4,5120.0
632,36,0,2,5,3,1,3124.0
633,51,0,2,3,3,1,11261.0
634,65,1,1,2,3,2,2468.0
635,43,1,2,4,3,3,22157.0
636,46,1,3,5,3,2,11477.0
637,43,0,2,5,3,1,3933.0
638,56,1,3,5,3,4,8022.0
639,43,1,3,1,2,3,13771.0
640,53,1,1,5,2,4,30271.0
641,50,1,2,3,1,3,3244.0
642,43,0,3,5,3,2,2936.0
643,54,1,3,3,3,4,1438.3
644,33,1,2,1,3,3,6242.0
645,58,0,2,2,3,2,6175.0
646,41,1,3,5,2,4,11806.0
647,48,1,3,6,2,3,4734.0
648,55,1,2,3,2,2,6244.0
649,54,0,2,5,3,1,1438.3
650,51,0,3,6,4,6,34516.0
651,35,1,3,5,2,4,23561.0
652,50,1,3,2,2,4,24742.0
653,55,1,4,3,3,4,27560.0
654,45,0,0,4,4,1,5923.0
655,34,1,2,2,3,3,8581.0
656,55,0,4,5,3,2,3156.0
657,48,0,2,1,3,1,7151.0
658,46,1,4,5,3,3,1535.0
659,61,0,0,5,3,1,2122.0
660,48,1,1,2,1,3,17131.0
661,51,0,1,5,3,1,5822.0
662,39,1,3,7,3,3,3537.0
663,43,1,3,5,3,5,34516.0
664,53,1,3,5,2,3,16320.0
665,38,1,2,3,3,4,2407.0
666,49,0,2,3,2,1,3538.0
667,37,0,0,1,3,1,2684.0
668,53,1,3,5,2,4,34516.0
669,46,1,2,6,2,2,15459.0
670,44,0,3,2,2,1,4307.0
671,50,0,1,1,2,1,2081.0
672,58,0,2,2,3,2,2848.0
673,55,1,3,3,2,5,34516.0
674,44,1,3,4,1,4,6361.0
675,57,1,4,3,3,4,15428.0
676,57,1,1,3,3,2,2544.0
677,48,1,3,3,3,4,9959.0
678,51,1,1,5,2,3,8796.0
679,53,0,3,2,3,1,3428.0
680,45,0,1,7,2,1,1438.3
681,41,1,4,6,3,3,18001.0
682,51,0,4,5,2,1,2680.0
683,46,0,2,3,3,1,4675.0
684,40,0,5,4,3,1,2448.0
685,33,1,2,7,3,3,4049.0
686,53,1,1,3,2,4,8154.0
687,63,1,1,3,3,2,4559.0
688,61,1,0,2,2,4,19354.0
689,56,1,4,3,3,3,2340.0
690,53,1,2,5,2,3,13848.0
691,62,0,2,5,3,1,2490.0
692,50,0,4,1,3,6,32156.0
693,37,1,4,5,3,3,2578.0
694,62,0,0,5,3,6,9050.0
695,49,1,3,2,2,4,34516.0
696,57,0,3,3,3,6,8362.0
697,55,1,2,3,3,4,6514.0
698,50,1,1,5,3,4,4051.0
699,48,1,3,4,3,3,11959.0
700,60,0,1,2,4,2,2070.0
701,46,1,1,1,2,5,11840.0
702,47,1,2,4,3,5,3636.0
703,54,1,2,2,3,3,11067.0
704,53,1,2,7,3,3,11262.0
705,56,0,3,5,2,2,5108.0
706,56,0,4,3,3,2,2072.0
707,41,1,3,2,3,4,4119.0
708,60,0,1,5,3,2,5903.0
709,40,1,5,5,1,2,7860.0
710,49,0,3,6,3,2,5918.0
711,46,1,4,5,2,2,6741.0
712,36,0,3,3,3,1,3880.0
713,57,0,2,1,3,1,2494.0
714,38,1,1,3,3,4,22149.0
715,50,1,3,5,4,4,34516.0
716,62,1,0,5,3,3,5450.0
717,43,1,3,1,3,2,1438.3
718,44,0,5,1,2,1,2003.0
719,39,1,2,2,2,2,7723.0
720,38,1,2,4,3,4,18226.0
721,44,0,4,4,3,1,8128.0
722,43,1,3,3,3,4,5851.0
723,54,1,1,6,2,4,10260.0
724,38,0,3,1,2,6,26945.0
725,55,1,2,1,2,3,2243.0
726,42,1,5,1,1,5,34516.0
727,56,1,3,1,3,3,12248.0
728,59,0,1,1,3,6,1438.3
729,46,1,4,2,2,4,19843.0
730,55,0,2,6,3,1,2163.0
731,52,1,1,7,3,5,33864.0
